Designator,Mid X,Mid Y,Rotation,Layer
C1,25.75,47.0,0.0,top
C2,57.75,14.4,0.0,top
C3,23.5,2.25,90.0,top
D1,49.19,12.25,270.0,top
D2,42.57,12.25,270.0,top
D3,35.95,12.25,270.0,top
D4,29.33,12.25,270.0,top
J1,36.815,2.515,90.0,top
J2,30.196,50.775,90.0,top
J3,57.125,2.515,90.0,top
J4,54.595,50.775,90.0,top
J5,21.5,11.575,90.0,top
J6,19.8,26.3,90.0,top
J7,54.275,11.975,0.0,top
R1,22.2125,45.0,180.0,top
R2,25.7875,45.0,0.0,top
RV1,29.48,22.06,0.0,top
RV2,37.59,22.06,0.0,top
RV3,45.7,22.06,0.0,top
U1,25.65,42.4,180.0,top
